"city","data_source","Var_p","Var_W"
"Jeddah","gleam-v4-1a",NA,1833.23119048626
"Jeddah","mswep-v2-8",2287.43811775899,1931.48644545455
"Jeddah","terraclimate",1755.28812494715,4.74127077167019
"Jinan","era5-land",19308.4967172833,14887.7472276427
"Jinan","gleam-v4-1a",NA,18201.4506707717
"Jinan","mswep-v2-8",29237.4537045983,27052.3053627907
"Jinan","terraclimate",21500.0676061311,5354.77439719873
"Johannesburg","era5-land",22938.5384580867,13120.9958479915
"Johannesburg","gleam-v4-1a",NA,11822.3390864693
"Johannesburg","mswep-v2-8",17895.6820230444,9662.05386612051
"Johannesburg","terraclimate",17394.2289650634,1037.24764709302
"Kabul","era5-land",13515.8072859937,14489.2890852008
"Kabul","gleam-v4-1a",NA,5475.59591390063
"Kabul","mswep-v2-8",7564.32545554968,6285.33162975687
"Kabul","terraclimate",7005.00366231501,4366.9357134778
"Kampala","era5-land",56131.8546854123,66663.662659408
"Kampala","gleam-v4-1a",NA,49295.7804175476
"Kampala","mswep-v2-8",22156.4395561839,21583.2311160148
"Kampala","terraclimate",49438.2597835095,25411.7161139535
"Kano State","era5-land",9569.72815792812,8880.80834926004
"Kano State","gleam-v4-1a",NA,20846.539164482
"Kano State","mswep-v2-8",9703.58254820296,7635.33510359408
"Kano State","terraclimate",26661.4758353066,9503.29181099366
"Kanpur","era5-land",44226.1520335624,49469.5178904863
"Kanpur","gleam-v4-1a",NA,37133.3832847252
"Kanpur","mswep-v2-8",39014.6783092495,43774.960017759
"Kanpur","terraclimate",30378.6600625793,20818.7202022727
"Karachi","era5-land",12507.9693718288,5799.38191205074
"Karachi","gleam-v4-1a",NA,3769.77566680761
"Karachi","mswep-v2-8",12074.0146377907,5623.91756257928
"Karachi","terraclimate",7563.15270459831,488.283926004228
"Kathmandu","era5-land",166720.663155603,178282.484877114
"Kathmandu","gleam-v4-1a",NA,147197.982113742
"Kathmandu","mswep-v2-8",150990.524937156,154349.210835307
"Kathmandu","terraclimate",142922.542708827,116432.42764371
"Khartoum","era5-land",1395.28652325581,178.916102748414
"Khartoum","gleam-v4-1a",NA,2140.11126273784
"Khartoum","mswep-v2-8",1877.69941664905,639.785028488372
"Khartoum","terraclimate",3064.36323948203,10.7943832452431
"Kigali","era5-land",29543.3969730972,24373.4067950846
"Kigali","gleam-v4-1a",NA,20718.9349811311
"Kigali","mswep-v2-8",25981.7804196089,19549.0333621564
"Kigali","terraclimate",22939.9250970402,10866.9753134778
"Kinshasa","era5-land",11072.0391633721,9419.15244709302
"Kinshasa","gleam-v4-1a",NA,25979.8684695032
"Kinshasa","mswep-v2-8",11813.5271758985,11485.6292158034
"Kinshasa","terraclimate",25088.8104841438,21084.7251557611
"Kochi","era5-land",137188.230155814,136112.086006131
"Kochi","gleam-v4-1a",NA,205896.674853858
"Kochi","mswep-v2-8",108352.166857082,108097.030810994
"Kochi","terraclimate",206585.138298256,195167.010420877
